Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1961","1961","100 g/ha","25208","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1962","1962","100 g/ha","25684","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1963","1963","100 g/ha","25099","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1964","1964","100 g/ha","26217","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1965","1965","100 g/ha","23301","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1966","1966","100 g/ha","29406","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1967","1967","100 g/ha","32510","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1968","1968","100 g/ha","33431","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1969","1969","100 g/ha","35557","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1970","1970","100 g/ha","31923","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1971","1971","100 g/ha","36564","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1972","1972","100 g/ha","34026","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1973","1973","100 g/ha","38555","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1974","1974","100 g/ha","40709","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1975","1975","100 g/ha","37527","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1976","1976","100 g/ha","41739","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1977","1977","100 g/ha","40962","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1978","1978","100 g/ha","43942","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1979","1979","100 g/ha","37292","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","F1717","Cereals, primary","1980","1980","100 g/ha","45156","E","Estimated value",""
